cldf_name,cldf_glottocode,cldf_iso639P3code,cldf_latitude,cldf_longitude,cldf_value,author,title,year,id
Nkami,nkam1239,nkq,7.0556,-0.0372,"long grammar","Asante, Krobea Rogers","Nkami language: Description and analysis",2016,hh:g:Asante:Nkami
"Ebrié",ebri1238,ebr,5.36868,-4.03188,grammar,"Mobio, Djigbé François","Description systématique de l'ebrie (parler bidjan-nkyan), langue kwa de cote d'ivoire",2016,hh:g:Mobio:Ebrie
Hamer-Banna,hame1242,amf,5.06515,36.5176,"long grammar","Petrollino, Sara","A Grammar of Hamar, a South Omotic language of Ethiopia",2016,hh:g:Petrollino:Hamar
Aimele,aime1238,ail,-6.68656,142.656,"long grammar","Aiton, Grant","Grammatical Relations and Information Structure in Eibela: A typological perspective",2016,hh:g:Aiton:Eibela
"Yerong-Southern Buyang",yero1238,yrn,23.342,105.754,"long grammar","Mo, Haiwen","Róngtún bùyāng yǔ cānkǎo yǔfǎ",2016,hh:g:Mo:Rongtun-Buyang
Amele,amel1241,aey,-5.29126,145.687,"long grammar","Roberts, John R.","Amele RRG Grammatical Sketch",2016,hh:g:Roberts:Amele:2016
Aghu,aghu1255,ahh,-6.34674,140.043,grammar,"van den Heuvel, Wilco","Aghu: annotated texts with grammatical introduction and vocabulary lists",2016,hh:gtd:vandenHeuvel:Aghu
"Middle English",midd1317,enm,51.65,-1.11,"long grammar","Mustanoja, Tauno F.","A Middle English Syntax: Parts of speech",2016,hh:g:Mustanoja:Middle-English
Palula,phal1254,phl,35.5096,71.8421,"long grammar","Liljegren, Henrik","A grammar of Palula",2016,hh:g:Liljegren:Palula:2016
Laki,laki1244,lki,34.0103,47.9398,grammar,"Belelli, Sara","A study on language and folklore in the city of Harsin (in Kermānshāh province of West Iran): Sketch grammar with texts and lexicon",2016,hh:g:Belelli:Harsin
Nanga,nang1261,nzz,14.49,-3.02,"long grammar","Heath, Jeffrey","A Grammar of Nanga",2016,hh:g:Heath:Nanga
Alagwa,alag1248,wbj,-4.64148,35.7231,"long grammar","Mous, Maarten","Alagwa -- A South Cushitic Language of Tanzania",2016,hh:g:Mous:Alagwa
Awngi,awng1244,awn,10.9819,36.6916,"long grammar","Allene, Yaregal","A Grammar of Kulazngi",2016,hh:g:Allene:Kulazngi
Inoric,inor1238,ior,7.94883,37.7968,"long grammar","Adnew, Meheretu","Descriptive Grammar of Gyeta",2016,hh:g:Meheretu:Gyeta
"Dhofari Arabic",dhof1235,adf,17.0796,54.4894,"long grammar","Davey, Richard J.","Coastal Dhofari Arabic: A Sketch Grammar",2016,hh:g:Davey:Dhofari:2016
"Old Aramaic-Sam'alian",olda1245,oar,32.84,37.0,"long grammar","Fales, Frederick Mario and Grassi, Giulia Francesca","L'aramaico antico: Storia, grammatica, testi commentati",2016,hh:g:Fales:Aramaico-Antico
Kelabit,kela1258,kzi,3.31783,115.428,"long grammar","Hemmings, Charlotte","The Kelabit language: Austronesian voice and syntactic typology",2016,hh:g:Hemmings:Kelabit:2016
"Ahin-Kayapa Kalanguya",ahin1234,kak,16.321,120.90003,grammar,"Santiago, Paul Julian","Karanguya-go bunpō",2016,hh:g:Santiago:Kalanguya
Nauete,naue1237,nxa,-8.70733,126.741,grammar,"Veloso, Alexandre","A grammar sketch of Naueti, a language of East Timor",2016,hh:g:Veloso:Naueti
Lamaholot,lama1277,slp,-8.36439,122.803,"long grammar","Kroon, Yosep Bisara","A grammar of Solor-Lamaholot: A Language of Flores, Eastern Indonesia",2016,hh:g:Kroon:Solor
Nese,nese1235,,-15.952608,167.222769,"long grammar","Takau, Lana Grelyn","A grammar of Nese",2016,hh:g:Takau:Nese
"Vurës",vure1239,msn,-13.905677,167.451412,"long grammar","Malau, Catriona","A Grammar of Vurës, Vanuatu",2016,hh:g:Malau:Vures
"East Uvean",wall1257,wls,-13.2903,-176.207,grammar,"Moyse-Faurie, Claire","Te Lea Faka'uvea: Le Wallisien",2016,hh:g:Moyse-Faurie:Wallisien
